Wbox_SKU,Reference,Description,Value,KiCad Footprint,Datasheet,Package,MF_Name,MF_PN,S1_Name,S1_PN,Qty,Verified_FP
1,U,ACCELEROMETER 3X3 DGTL 10-DFN ,MMA7660,,http://cache.freescale.com/files/sensors/doc/data_sheet/MMA7660FC.pdf,DFN10,Freescale NXP,MMA7660FCT,Digikey,MMA7660FCT-ND ,0,No
2,U,IC MCU 8BIT 8KB FLASH 20SOIC ,ATTINY861V,,http://www.atmel.com/images/atmel-2588-8-bit-avr-microcontrollers-tinyavr-attiny261-attiny461-attiny861_datasheet.pdf,SOIC20,Atmel,ATTINY861V-10SU ,Digikey,ATTINY861V-10SU-ND ,0,No
3,LED,5050 RGB LED with Integrated Chip Driver,5050RGBLED,,https://www.adafruit.com/images/product-files/1138/SK6812%20LED%20datasheet%20.pdf,RGBLED5050,Adafruit,5050 RGB LED,Adafruit,1655,20,No
4,U,IC VREF GND REF ADJ DIP8 ,TLE2426,,http://www.ti.com/lit/ds/symlink/tle2426.pdf,DIP8,TI,TLE2426CP,Digikey, 296-6548-5-ND ,10,No
5,U,IC REG LDO 3.3V 0.25A SOT23A-3 ,MCP1703,,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en530937,SOT23A-3,Microchip, MCP1703T-3302E/CB ,Digikey, MCP1703T-3302E/CBCT-ND ,8,No
6,U, IC REG BST 5V 295MA SYNC SOT-25 ,XC9140,,http://www.torex.co.jp/english/products/dcdc_converters/data/XC9140.pdf,SOT23-5,Torex, XC9140A501MR-G ,Digikey, 893-1181-1-ND ,9,No
7,U, IC REG LDO 3.3V 0.15A SOT23-5 ,AAT3221,,http://www.skyworksinc.com/uploads/documents/AAT3221_AAT3222_202251B.pdf,SOT23-5,Skyworks, AAT3221IGV-3.3-T1 ,Digikey, 863-1491-1-ND ,18,No
8,U, IC REG LDO 3.3V 3A P2PAK-4 ,LD29300,,http://www.st.com/web/en/resource/technical/document/datasheet/CD00003208.pdf,P2PAK-4,STM, LD29300P2M33R ,Digikey, 497-3475-1-ND ,3,No
9,U, IC REG LDO 5V 3A TO263-3 ,SPX29300,,http://www.exar.com/Common/Content/Document.ashx?id=1328,TO-263,Exar, SPX29300T-L-5-0 ,Digikey, 1016-1548-5-ND ,3,No
10,U, IC REG LDO 3.3V 0.15A SOT23-5 ,TC2185,,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en011649,SOT23-5,Microchip, TC2185-3.3VCTTR ,Digikey, TC2185-3.3VCCT-ND ,4,No
11,U,IC REG BOOST ADJ 0.5A SOT25 ,AP3012,,http://www.diodes.com/_files/datasheets/AP3012.pdf,SOT23-5,Diodes Inc, AP3012KTR-G1 ,Digikey, AP3012KTR-G1DICT-ND ,4,No
12,U, IC REG LDO 5V 1A TO220AB ,NCP7805,,http://www.onsemi.com/pub_link/Collateral/NCP7800-D.PDF,TO220AB,ON Semi, NCP7805TG ,Digikey, NCP7805TGOS-ND ,4,No
13,U, IC REG LDO 9V 1A TO220AB ,MC7809,,http://www.onsemi.com/pub_link/Collateral/MC7800-D.PDF,TO220AB,ON Semi, MC7809CTG ,Digikey, MC7809CTGOS-ND ,9,No
