'Reference','Qty','Description','MF_Name','MF_PN','Digikey'
'C1','1','CAP CER 0.1UF 16V X7R 0402','Samsung','CL05B104KO5NNNC','1276-1001-1-ND'
'C2;C3','2','CAP CER 22pF 100V C0G NP0 0603','Kemet','C0805C220J5GACTU','399-11145-1-ND'
'C4','1','CAP CER 1UF 25V X7R 0603','Taiyo Yuden','TMK107B7105KA-T','587-2984-1-ND'
'C5','1','CAP CER 0.1UF 25V X7R 0805','Samsung','CL21B104KACNNNC','1276-1099-1-ND'
'D1;D2','2','DIODE ZENER 3.6V 1W DO41','Fairchild','BZX85C3V6','BZX85C3V6-ND'
'D3','1','DIODE SCHOTTKY 40V 1A SMA','Vishay','VS-MBRA140TRPBF','VS-MBRA140TRPBFCT-ND'
'F1','1','RESETTABLE FUSE 500mA 15V MF-MSMF','Bourns','MF-MSMF050-2','MF-MSMF050-2CT-ND'
'J1','1','USB MICRO-B RECEPTACLE 5PIN SMT R/A','Amphenol','10118193-0001LF','609-4616-1-ND'
'J2','1','HEADER MALE 6POS 2x3 0.1”','Harwin','M20-9720345','952-1921-ND'
'J3','1','HEADER FEMALE 5POS TH 1x05 0.1”','Harwin','M20-7820542','952-1801-ND'
'L1','1','FERRITE BEAD 220 OHM 0402 1LN','Laird-Signal','LI0402C221R-10','240-2554-1-ND'
'LED1;LED2','2','LED AMBER DIFFUSED 0603 SMD','OSRAM','LA L296-Q2R2-1-Z','475-2712-1-ND'
'R1;R2','2','RES 22 OHM 5% 1/10W 0603','Yageo','RC0603JR-0722RL','311-22GRCT-ND'
'R3','1','RES SMD 10K OHM 5% 1/8W 0805','Yageo','RC0805JR-0710KL','311-10KARCT-ND'
'R4;R5-R8','5','RES SMD 1K OHM 1% 1/10W 0603','Samsung','RC1608F102CS','1276-3484-1-ND'
'U1','1','MCU 8BIT 16KB FLASH 32VQFN','Atmel','ATMEGA16U2-MU','ATMEGA16U2-MU-ND'
'X1','1','16MHz ±30ppm Crystal 18pF 40 Ohm 4SMD','CTS','406I35D16M00000','CTX1206CT-ND'
